,smiles,prop,SET,data
0,<delaney>|CC(C)(C)CCO,-0.5,train,delaney
74,<delaney>|CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-3.46,train,delaney
75,<delaney>|OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,train,delaney
76,<delaney>|Clc1ccc(Cl)c(Cl)c1,-3.59,train,delaney
77,<delaney>|CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003,train,delaney
78,<delaney>|O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,train,delaney
79,<delaney>|OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38,train,delaney
80,<delaney>|CC(C)C(=O)C,-0.12,train,delaney
81,<delaney>|CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.36,train,delaney
82,<delaney>|Oc1ccc(cc1)N(=O)=O,-0.74,train,delaney
83,<delaney>|CCCCOC,-0.99,train,delaney
84,<delaney>|O=c1[nH]cnc2[nH]ncc12,-2.266,train,delaney
85,<delaney>|CCC(=O)CC,-0.28,train,delaney
86,<delaney>|C1CCCC1,-2.64,train,delaney
87,<delaney>|CCNc1nc(NC(C)C)nc(OC)n1,-2.084,train,delaney
88,<delaney>|CCCC(C)(C)CO,-1.52,train,delaney
89,<delaney>|CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21,train,delaney
90,<delaney>|O(c1ccccc1)c2ccccc2,-3.96,train,delaney
91,<delaney>|Cc1occc1C(=O)Nc2ccccc2,-3.3,train,delaney
92,<delaney>|CCc1ccccc1,-2.77,train,delaney
93,<delaney>|Oc1c(Cl)cc(Cl)cc1Cl,-2.34,train,delaney
94,<delaney>|C=CCS(=O)SCC=C,-0.83,train,delaney
95,<delaney>|CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,train,delaney
96,<delaney>|c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7,train,delaney
97,<delaney>|Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999,train,delaney
98,<delaney>|CCSCc1ccccc1OC(=O)NC,-2.09,train,delaney
99,<delaney>|Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499,train,delaney
100,<delaney>|CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,train,delaney
101,<delaney>|COc1cccc(Cl)c1,-2.78,train,delaney
102,<delaney>|Cc1ccccc1C,-2.8,train,delaney
103,<delaney>|C1CCCCC1,-3.1,train,delaney
104,<delaney>|CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754,train,delaney
105,<delaney>|Cc1ccnc(C)c1,0.38,train,delaney
106,<delaney>|Oc2ccc1CCCCc1c2,-1.99,train,delaney
107,<delaney>|Oc1c(I)cc(C#N)cc1I,-3.61,train,delaney
108,<delaney>|CCCCCCCCC=C,-5.51,train,delaney
109,<delaney>|CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,train,delaney
110,<delaney>|CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003,train,delaney
111,<delaney>|CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.284,train,delaney
112,<delaney>|CCOc1ccccc1,-2.33,train,delaney
113,<delaney>|CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,-5.36,train,delaney
114,<delaney>|Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,-7.8,train,delaney
115,<delaney>|CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,train,delaney
116,<delaney>|c1(Br)c(Br)cc(Br)cc1,-4.5,train,delaney
117,<delaney>|CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,train,delaney
118,<delaney>|CC(=O)Nc1ccc(Br)cc1,-3.083,train,delaney
119,<delaney>|CCOC=O,0.15,train,delaney
120,<delaney>|ClC(Cl)(Cl)N(=O)=O,-2.0,train,delaney
121,<delaney>|CCCCCC=C,-3.73,train,delaney
122,<delaney>|COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,-4.76,train,delaney
123,<delaney>|CCC(C)(C)CO,-1.04,train,delaney
124,<delaney>|CCCCCCCCCCCCCCCC,-8.4,train,delaney
125,<delaney>|CCSSCC,-2.42,train,delaney
126,<delaney>|CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.56,train,delaney
127,<delaney>|ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4,train,delaney
128,<delaney>|CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,train,delaney
129,<delaney>|CC(C)CC(C)C,-4.26,train,delaney
130,<delaney>|O=C1CCCN1,1.07,train,delaney
131,<delaney>|CCC(C)(C)C,-3.55,train,delaney
132,<delaney>|CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,-2.73,train,delaney
133,<delaney>|CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,train,delaney
134,<delaney>|COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,train,delaney
135,<delaney>|CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2,-4.93,train,delaney
136,<delaney>|Nc1cccc(c1)N(=O)=O,-2.19,train,delaney
137,<delaney>|Clc1ccc2ccccc2c1,-4.14,train,delaney
138,<delaney>|O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168,train,delaney
139,<delaney>|CCCc1ccccc1,-3.37,train,delaney
140,<delaney>|C=CCC=C,-2.09,train,delaney
141,<delaney>|CI,-1.0,train,delaney
142,<delaney>|Cc1ccccc1,-2.21,train,delaney
143,<delaney>|C/C=C/C=O,0.32,train,delaney
144,<delaney>|Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21,train,delaney
145,<delaney>|O=C1CCCCC1,-0.6,train,delaney
146,<delaney>|CC#C,-0.41,train,delaney
147,<delaney>|CCCCBr,-2.37,train,delaney
148,<delaney>|CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81,train,delaney
149,<delaney>|Nc1ccc(O)cc1,-0.8,train,delaney
150,<delaney>|CCCCCCC#C,-3.66,train,delaney
151,<delaney>|CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099,train,delaney
152,<delaney>|CCSCCSP(=S)(OC)OC,-3.091,train,delaney
153,<delaney>|CC(C)c1ccccc1,-3.27,train,delaney
154,<delaney>|ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,train,delaney
155,<delaney>|CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,train,delaney
156,<delaney>|O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,train,delaney
157,<delaney>|CCCCOCCO,-0.42,train,delaney
158,<delaney>|CCCCCCCCCO,-3.01,train,delaney
159,<delaney>|Cc1c[nH]c2ccccc12,-2.42,train,delaney
160,<delaney>|NC(=O)c1cnccn1,-0.667,train,delaney
161,<delaney>|Oc1cccc(Cl)c1,-0.7,train,delaney
162,<delaney>|CCc1ccc2ccccc2c1,-4.29,train,delaney
163,<delaney>|O=C(c1ccccc1)c2ccccc2,-3.12,train,delaney
164,<delaney>|CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402,train,delaney
165,<delaney>|c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726,train,delaney
166,<delaney>|CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,train,delaney
167,<delaney>|Clc1cc(Cl)cc(Cl)c1,-4.48,train,delaney
168,<delaney>|Oc1ccc(Cl)c(Cl)c1,-1.25,train,delaney
169,<delaney>|Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,train,delaney
170,<delaney>|OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7,-3.931,train,delaney
171,<delaney>|CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,train,delaney
172,<delaney>|CCCCCCCI,-4.81,train,delaney
173,<delaney>|CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,train,delaney
174,<delaney>|CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,train,delaney
175,<delaney>|ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,train,delaney
176,<delaney>|CCNC(=S)NCC,-1.46,train,delaney
177,<delaney>|COc1ccccc1O,-1.96,train,delaney
178,<delaney>|CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67,train,delaney
179,<delaney>|CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O,-4.955,train,delaney
180,<delaney>|CC(C)N(=O)=O,-0.62,train,delaney
181,<delaney>|COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,train,delaney
182,<delaney>|CCNc1nc(Cl)nc(NCC)n1,-4.55,train,delaney
183,<delaney>|Cc1cccc2c1ccc3ccccc32,-5.85,train,delaney
184,<delaney>|CCCCCCC=C,-4.44,train,delaney
185,<delaney>|CC(C)=CCCC(C)=CC(=O),-2.06,train,delaney
186,<delaney>|CCCCCCCC(=O)C,-2.58,train,delaney
187,<delaney>|ClCC(C)C,-2.0,train,delaney
188,<delaney>|COCOC,0.48,train,delaney
189,<delaney>|CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.37,train,delaney
190,<delaney>|C1Cc2ccccc2C1,-3.04,train,delaney
191,<delaney>|CCC(Br)(CC)C(=O)NC(N)=O,-2.68,train,delaney
192,<delaney>|CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.2860000000000005,train,delaney
193,<delaney>|CN(C)C(=S)SSC(=S)N(C)C,-3.9,train,delaney
194,<delaney>|Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01,train,delaney
195,<delaney>|Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461,train,delaney
196,<delaney>|OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77,train,delaney
197,<delaney>|c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943,train,delaney
198,<delaney>|CCCOC(=O)C,-0.72,train,delaney
199,<delaney>|O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,train,delaney
200,<delaney>|Oc2ncc1nccnc1n2,-1.947,train,delaney
201,<delaney>|Cc1ccc(cc1)c2ccccc2,-4.62,train,delaney
202,<delaney>|CCNc1nc(NC(C)C)nc(SC)n1,-3.04,train,delaney
203,<delaney>|c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899,train,delaney
204,<delaney>|CCCI,-2.29,train,delaney
205,<delaney>|COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,-3.2460000000000004,train,delaney
206,<delaney>|CCCCC(C)O,-0.89,train,delaney
207,<delaney>|CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,train,delaney
208,<delaney>|CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29,train,delaney
209,<delaney>|CC(C)C(C)C,-3.65,train,delaney
210,<delaney>|C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,train,delaney
211,<delaney>|COc1ncnc2nccnc12,-1.11,train,delaney
212,<delaney>|CC(C)C(=O)C(C)C,-1.3,train,delaney
213,<delaney>|OC1CCCCCC1,-0.88,train,delaney
214,<delaney>|CC(C)CC(C)O,-0.8,train,delaney
215,<delaney>|COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596,train,delaney
216,<delaney>|CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,train,delaney
217,<delaney>|OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85,train,delaney
218,<delaney>|c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.6370000000000005,train,delaney
219,<delaney>|Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.39,train,delaney
220,<delaney>|Cc1cccc(C)c1O,-1.29,train,delaney
221,<delaney>|COc1ccc(cc1)N(=O)=O,-2.41,train,delaney
222,<delaney>|CNC(=O)Oc1cccc2ccccc12,-3.224,train,delaney
223,<delaney>|O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,train,delaney
224,<delaney>|Cc1c[nH]c(=O)[nH]c1=O,-1.506,train,delaney
225,<delaney>|CCCCCCCCCC(=O)OC,-4.69,train,delaney
226,<delaney>|Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94,train,delaney
227,<delaney>|CCCCCc1ccccc1,-4.64,train,delaney
228,<delaney>|CC(=O)Nc1ccccc1,-1.33,train,delaney
229,<delaney>|Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,-1.95,train,delaney
230,<delaney>|CCc1ccccc1C,-3.21,train,delaney
231,<delaney>|CCCCCCCCBr,-5.06,train,delaney
232,<delaney>|Cc1cc(C)c2ccccc2c1,-4.29,train,delaney
233,<delaney>|Cc1cccc(O)c1,-0.68,train,delaney
234,<delaney>|Oc1ccccc1O,0.62,train,delaney
235,<delaney>|COC(=O)c1ccc(O)cc1,-1.827,train,delaney
236,<delaney>|CC(C)I,-2.09,train,delaney
237,<delaney>|CCCC=O,-0.01,train,delaney
238,<delaney>|Oc1c(Cl)cccc1Cl,-1.79,train,delaney
239,<delaney>|O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,train,delaney
240,<delaney>|Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82,train,delaney
241,<delaney>|c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.8,train,delaney
242,<delaney>|BrC(Cl)Cl,-1.54,train,delaney
243,<delaney>|Brc1cc(Br)c(Br)cc1Br,-6.98,train,delaney
244,<delaney>|Oc1cccc2ccccc12,-2.22,train,delaney
245,<delaney>|COC(=O)C=C,-0.22,train,delaney
246,<delaney>|CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43,train,delaney
247,<delaney>|CC12CCC(CC1)C(C)(C)O2,-1.64,train,delaney
248,<delaney>|ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03,train,delaney
249,<delaney>|CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,train,delaney
250,<delaney>|Cc1cccc(C)n1,0.45,train,delaney
251,<delaney>|CC(C)Cc1ccccc1,-4.12,train,delaney
252,<delaney>|CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,train,delaney
253,<delaney>|Clc1cccc(Cl)c1,-3.04,train,delaney
254,<delaney>|CCS,-0.6,train,delaney
255,<delaney>|CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,-3.38,train,delaney
256,<delaney>|C=CC=C,-1.87,train,delaney
257,<delaney>|c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,train,delaney
258,<delaney>|CN(C)C=Nc1ccc(Cl)cc1C,-2.86,train,delaney
259,<delaney>|Nc1nc(O)nc2nc[nH]c12,-3.401,train,delaney
260,<delaney>|CC(C)CO,0.1,train,delaney
261,<delaney>|ClC(Cl)C(Cl)(Cl)Cl,-2.6,train,delaney
262,<delaney>|CCSC(=O)N(CC)C1CCCCC1,-3.4,train,delaney
263,<delaney>|CCCCCCCC#C,-4.24,train,delaney
264,<delaney>|CCCCCl,-2.03,train,delaney
265,<delaney>|CCCCC(C)(O)CC,-1.6,train,delaney
266,<delaney>|O=Cc2ccc1OCOc1c2,-1.63,train,delaney
267,<delaney>|O=N(=O)c1ccccc1N(=O)=O,-3.1,train,delaney
268,<delaney>|CCCCCC(C)(C)O,-1.72,train,delaney
269,<delaney>|Clc1ccc(cc1)c2cc(Cl)ccc2Cl,-6.25,train,delaney
270,<delaney>|CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.81,train,delaney
271,<delaney>|CCCCCC1CCCC1,-6.08,train,delaney
272,<delaney>|CNN,1.34,train,delaney
273,<delaney>|CCI,-1.6,train,delaney
274,<delaney>|CCOP(=S)(OCC)SCCSCC,-4.23,train,delaney
275,<delaney>|ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317,train,delaney
276,<delaney>|Nc1ccccc1Cl,-1.52,train,delaney
277,<delaney>|Oc1cc(Cl)c(Cl)cc1Cl,-2.21,train,delaney
278,<delaney>|COc1ccccc1OCC(O)COC(N)=O,-0.985,train,delaney
279,<delaney>|Oc1cccc(O)c1,0.81,train,delaney
280,<delaney>|O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,-3.38,train,delaney
281,<delaney>|Cc1ccc2ccccc2c1,-3.77,train,delaney
282,<delaney>|Clc1ccccc1Br,-3.19,train,delaney
283,<delaney>|CCOC(=O)C,-0.04,train,delaney
284,<delaney>|Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,train,delaney
285,<delaney>|CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001,train,delaney
286,<delaney>|CCCCC(CC)C=O,-2.13,train,delaney
287,<delaney>|Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,train,delaney
288,<delaney>|o1c2ccccc2c3ccccc13,-4.6,train,delaney
289,<delaney>|Clc1ccc(cc1)c2cccc(Cl)c2Cl,-6.29,train,delaney
290,<delaney>|CCC(C)Cl,-1.96,train,delaney
291,<delaney>|CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,train,delaney
292,<delaney>|CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001,train,delaney
293,<delaney>|Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,train,delaney
294,<delaney>|Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76,train,delaney
295,<delaney>|NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,-3.05,train,delaney
296,<delaney>|CCC1(CCC(=O)NC1=O)c2ccccc2,-2.337,train,delaney
297,<delaney>|CCCCCO,-0.6,train,delaney
298,<delaney>|CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,train,delaney
299,<delaney>|CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,train,delaney
300,<delaney>|CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,train,delaney
301,<delaney>|Oc1ccncc1,1.02,train,delaney
302,<delaney>|CCC(=O)OC,-0.14,train,delaney
303,<delaney>|Oc1cccc(c1)N(=O)=O,-1.01,train,delaney
304,<delaney>|ClC(Br)Br,-1.9,train,delaney
305,<delaney>|CCCC(=C)C,-3.03,train,delaney
306,<delaney>|Cc1ccc2cc3ccccc3cc2c1,-6.96,train,delaney
307,<delaney>|CCc1cccc2ccccc12,-4.17,train,delaney
308,<delaney>|ClCCCl,-1.06,train,delaney
309,<delaney>|CCCOC(C)C,-1.34,train,delaney
310,<delaney>|CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364,train,delaney
311,<delaney>|Fc1ccccc1,-1.8,train,delaney
312,<delaney>|CCC=C,-1.94,train,delaney
313,<delaney>|ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,-5.64,train,delaney
314,<delaney>|CCCCC(=O)OC,-1.34,train,delaney
315,<delaney>|CCCC(O)CC,-0.8,train,delaney
316,<delaney>|CC(C)(C)Cc1ccccc1,-4.15,train,delaney
317,<delaney>|CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,train,delaney
318,<delaney>|ClCc1ccccc1,-2.39,train,delaney
319,<delaney>|OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O,0.79,train,delaney
320,<delaney>|CCCOCCC,-1.62,train,delaney
321,<delaney>|Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8,train,delaney
322,<delaney>|O=N(=O)c1ccccc1,-1.8,train,delaney
323,<delaney>|Clc1cccc(c1)c2cc(Cl)ccc2Cl,-6.01,train,delaney
324,<delaney>|NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451,train,delaney
325,<delaney>|CC=C(C)C,-2.56,train,delaney
326,<delaney>|CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,train,delaney
327,<delaney>|CC(C)CCCO,-1.14,train,delaney
328,<delaney>|Cc1ncc(N(=O)=O)n1CCO,-1.22,train,delaney
