,smiles,prop,SET,data
13,<lipo>|Nc1nc(ns1)c2ccccc2,2.2,train,lipo
14,<lipo>|CC(=O)Nc1ccccc1C,1.0,train,lipo
15,<lipo>|Fc1ccccc1COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4,3.85,train,lipo
16,<lipo>|CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)NCc3cccnc3)C(=O)C(F)(F)F,2.84,train,lipo
17,<lipo>|Cc1ccc(CN2C(=O)CCSc3ccc(Cl)cc23)cc1,3.7,train,lipo
18,<lipo>|N[C@@H](Cc1ccc(F)cc1)C(=O)O,-1.06,train,lipo
19,<lipo>|NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1,-0.6,train,lipo
20,<lipo>|NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(Br)sc13,1.08,train,lipo
21,<lipo>|CCCc1c(O)c(ccc1OCCCSc2ccc(CC(=O)O)cc2Cl)C(=O)CC,3.57,train,lipo
22,<lipo>|FC(F)(F)CCS(=O)(=O)Oc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCOCC5,4.2,train,lipo
23,<lipo>|CC(C)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NCC#N,3.24,train,lipo
24,<lipo>|Clc1ccc2[nH]c(cc2c1)C(=O)N3CCNCC3,1.65,train,lipo
25,<lipo>|Fc1ccc(cc1F)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,2.84,train,lipo
26,<lipo>|Oc1ccc(cc1)C2=Cc3ccccc3OC2=O,3.0,train,lipo
27,<lipo>|CC[C@H](NC(=O)c1c([S+](C)[O-])c(nc2cc(Cl)ccc12)c3ccccc3)c4ccccc4,3.07,train,lipo
28,<lipo>|CC(C)N1CCN[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1,1.92,train,lipo
29,<lipo>|CSc1nc2cc(Cl)ccc2[nH]1,3.22,train,lipo
30,<lipo>|COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1OC,3.4,train,lipo
31,<lipo>|CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,3.6,train,lipo
32,<lipo>|COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)C(CO)CO,3.1,train,lipo
33,<lipo>|COc1ccc(Cl)c(Nc2ncnc3cc(OC)cc(OC4CCN(C)CC4)c23)c1,3.6,train,lipo
34,<lipo>|Cc1ccccc1Nc2ncnc3ccccc23,2.85,train,lipo
35,<lipo>|COc1cc(F)ccc1c2cncc(CNC3CCCC3)c2,2.29,train,lipo
36,<lipo>|CS(=O)(=O)NCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,2.1,train,lipo
37,<lipo>|Clc1ccc(cc1)c2c[nH]nn2,2.97,train,lipo
38,<lipo>|NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4,2.5,train,lipo
39,<lipo>|Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(CC#Cc4ccccc4)C3=O,1.78,train,lipo
40,<lipo>|CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4,2.17,train,lipo
41,<lipo>|Fc1ccc(CNC(=O)CCS(=O)(=O)c2ccc(Br)cc2)cc1,3.1,train,lipo
42,<lipo>|CCO\N=C(\C1CCN(CC1)C2(C)CCN(CC2)C(=O)c3c(Cl)cncc3Cl)/c4ccc(Br)cc4,4.0,train,lipo
43,<lipo>|CCOC(=O)c1ccc(CCN2CCN(CC2)c3ccc(C)nn3)cc1,2.58,train,lipo
44,<lipo>|C[C@@](O)(C(=O)Nc1ccc(cc1Cl)S(=O)(=O)NCC=C)C(F)(F)F,3.07,train,lipo
45,<lipo>|Oc1ccc(cc1)c2oc3ccc(O)cc3n2,3.4,train,lipo
46,<lipo>|Cc1ccc(cc1)N2NC(=O)c3cccnc23,2.1,train,lipo
47,<lipo>|Cc1ccc(cc1)c2nnc(N3CCN(CC3)C(=O)c4occc4)c5ccccc25,3.78,train,lipo
48,<lipo>|COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4,2.52,train,lipo
49,<lipo>|COc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3,2.92,train,lipo
50,<lipo>|Oc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,0.52,train,lipo
51,<lipo>|CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F,-0.45,train,lipo
52,<lipo>|OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3,2.41,train,lipo
53,<lipo>|Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+](=O)[O-],0.74,train,lipo
54,<lipo>|Cc1c(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)cccc1C(=O)N,1.6,train,lipo
55,<lipo>|O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,4.46,train,lipo
56,<lipo>|CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cccc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,2.9,train,lipo
57,<lipo>|OC(=O)c1cn(Cc2ccccc2)c3ccccc13,1.19,train,lipo
58,<lipo>|CCCSc1nc(N[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,2.02,train,lipo
59,<lipo>|NC(=NC#N)c1sc(Nc2ccccc2)nc1N,2.91,train,lipo
60,<lipo>|O=C1C=C(Nc2ccccc12)c3occc3,2.21,train,lipo
61,<lipo>|CCCC(C)(C)C[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3,1.99,train,lipo
62,<lipo>|CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccc(O)cc4CN3,2.39,train,lipo
63,<lipo>|COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,2.2,train,lipo
64,<lipo>|CC(C)N1CCN(Cc2cnc(c(Cl)c2)c3ccc(cc3)C(=O)Nc4ccccc4N)CC1,1.68,train,lipo
65,<lipo>|Nc1nccc(n1)c2cc3C(=O)NC[C@@H](CCF)c3[nH]2,0.51,train,lipo
66,<lipo>|COc1ccccc1c2nnc(N)[nH]2,0.91,train,lipo
67,<lipo>|CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,2.37,train,lipo
68,<lipo>|CC[C@H](NC(=O)c1c([S+](C)[O-])c(nc2ccccc12)c3ccccc3)c4cccnc4,2.2,train,lipo
69,<lipo>|OC(=O)[C@H](Cc1ccc(OCCNc2ccccn2)cc1)NC(=O)c3c(Cl)cccc3Cl,-0.48,train,lipo
70,<lipo>|CNc1c(Cl)cnc2[nH]c(nc12)c3ccc(OCCN4CCOCC4)cc3,2.63,train,lipo
71,<lipo>|Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2,2.37,train,lipo
72,<lipo>|O=C(CSc1ccccc1)N2CCN(CC2)c3ccccc3,3.2,train,lipo
73,<lipo>|CC(=O)c1ccc(nc1)N2CCN(CC2)S(=O)(=O)C[C@]34CC[C@H](CC3=O)C4(C)C,2.21,train,lipo
74,<lipo>|Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,2.33,train,lipo
75,<lipo>|OC(=O)c1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.83,train,lipo
76,<lipo>|C[C@H](CO)Nc1nc(SCc2cccc(Cl)c2)nc3nc(N)sc13,3.31,train,lipo
77,<lipo>|Nc1ccc(cn1)C(=O)Nc2cccc(c2)c3nc(N4CCOCC4)c5oc6ncccc6c5n3,3.44,train,lipo
78,<lipo>|COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3)c2cc1OC,2.82,train,lipo
79,<lipo>|OC1CCN(CC1)C(=O)[C@H](Cc2ccccc2)NC(=O)c3cc4cc(Cl)ccc4[nH]3,3.6,train,lipo
80,<lipo>|O=C1C(=O)c2ccccc2c3ccccc13,2.6,train,lipo
81,<lipo>|OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4,2.17,train,lipo
82,<lipo>|C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,3.22,train,lipo
83,<lipo>|O=S(=O)(Cc1cc(nc(n1)c2ccccn2)N3CCOCC3)c4ccccc4,1.34,train,lipo
84,<lipo>|NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,-0.56,train,lipo
85,<lipo>|O=C(Nc1cccc(NC(=O)c2ccccc2)n1)c3ccccc3,4.02,train,lipo
86,<lipo>|COc1cc2nc(Nc3ccc(cc3)[C@@H](C)NC(=O)C)ncc2cc1c4ccncc4,3.11,train,lipo
87,<lipo>|Nc1ccccc1[N+](=O)[O-],-0.96,train,lipo
88,<lipo>|COc1cnc(nc1N(C)C)c2ccccn2,1.9,train,lipo
89,<lipo>|CCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3,1.92,train,lipo
90,<lipo>|c1ccc2ncncc2c1,1.0,train,lipo
91,<lipo>|C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(c4)c(C)nn5C,2.8,train,lipo
92,<lipo>|Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4c[nH]c(C)n4,2.97,train,lipo
93,<lipo>|COc1cccc(Oc2cncnc2O)c1,0.59,train,lipo
94,<lipo>|CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(O)cc2)C1)C(C)(C)C,0.77,train,lipo
95,<lipo>|CCCC1=CC(=O)NC(=S)N1,0.7,train,lipo
96,<lipo>|CNC(=O)c1ccc(cc1F)N2C(=S)N(C(=O)C23CCC3)c4ccc(C#N)c(c4)C(F)(F)F,3.3,train,lipo
97,<lipo>|Cc1cc(NC(=O)c2oc(Nc3ccccc3F)nn2)ccc1N4CCOCC4,4.0,train,lipo
98,<lipo>|Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(C)cccc34,1.29,train,lipo
99,<lipo>|CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)NCCOC)n2,2.44,train,lipo
100,<lipo>|COc1ccc(cc1)C2=CC(=O)c3ccccc3N2,2.71,train,lipo
101,<lipo>|C[C@H](NC(=O)c1c(C)nn(C2CCN(C)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,0.8,train,lipo
102,<lipo>|COc1cccc(CNc2nc(NC(C)C)nc3ccsc23)c1OC,3.7,train,lipo
103,<lipo>|CC(C)Oc1cc(Oc2ccc(cc2)S(=O)(=O)C)cc(c1)C(=O)Nc3nccs3,3.61,train,lipo
104,<lipo>|COc1ncc(C)cc1c2cccc3c(N)c(nnc23)C(=O)NC4CC4,3.4,train,lipo
105,<lipo>|CC(C)(C)c1ccc(cc1)C2=NC(=O)C(CC(=O)O)S2,-0.1,train,lipo
106,<lipo>|COc1ccc(N(C(C(=O)NC[C@@H](C)O)c2ccccc2F)C(=O)c3ccccc3)c(OC)c1,2.55,train,lipo
107,<lipo>|CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)c1,3.13,train,lipo
108,<lipo>|CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13,2.4,train,lipo
109,<lipo>|O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ccncc5s4,1.6,train,lipo
110,<lipo>|O=C1COc2ccccc2N1CCN3CCC(CC3)NCc4cc5OCCOc5cn4,1.04,train,lipo
111,<lipo>|NC1(CCC1)c2ccc(cc2)c3c(ccc4ccnn34)c5ccccc5,2.9,train,lipo
112,<lipo>|CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,0.37,train,lipo
113,<lipo>|Oc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,2.4,train,lipo
114,<lipo>|CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(F)c4)c3)C(=O)NC1=O,1.6,train,lipo
115,<lipo>|C[C@@H]1CN(Cc2oc(nn2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)C[C@H](C)O1,4.01,train,lipo
116,<lipo>|CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(F)c2)n3cnc(c3)C#N,1.51,train,lipo
117,<lipo>|CNC1=CN=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccc(F)cc2,1.86,train,lipo
118,<lipo>|CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C1)S(=O)(=O)c2ccccc2)C(C)(C)C,0.9,train,lipo
119,<lipo>|CC(C)(O)c1ccc(Nc2nc3ccc(cc3[nH]2)C#N)cc1,2.73,train,lipo
120,<lipo>|[O-][N+](=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1,2.56,train,lipo
121,<lipo>|C[C@@H](NC1=CC(=O)CNC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,2.49,train,lipo
122,<lipo>|CC(C)[C@@H]1N(C)c2ccccc2C[C@@H](CO)NC1=O,2.03,train,lipo
123,<lipo>|O[C@@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@@H]1NCc4ccc5OCC(=O)Nc5n4,0.11,train,lipo
124,<lipo>|Cc1ccc(cc1)c2c[nH]nn2,2.58,train,lipo
125,<lipo>|Fc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,0.9,train,lipo
126,<lipo>|Nc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1,1.6,train,lipo
127,<lipo>|OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)cc4)CC2,1.9,train,lipo
128,<lipo>|Cc1oc(CN2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3)cc1C,1.0,train,lipo
129,<lipo>|O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)NC3CC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5,3.67,train,lipo
130,<lipo>|CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,1.28,train,lipo
131,<lipo>|CCCNC(=O)c1nnc2c(cccc2c1N)c3cncc(c3)C(=O)N4CCC4,2.79,train,lipo
132,<lipo>|COc1ccccc1C(=O)Nc2nc3ccccc3s2,3.61,train,lipo
133,<lipo>|CCCSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3CCCCC3,0.64,train,lipo
134,<lipo>|OC(=O)c1ccc2c(c1)nc(Nc3cccc(c3)C#C)c4ncncc24,0.92,train,lipo
135,<lipo>|Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3occc3,2.17,train,lipo
136,<lipo>|CC(C)CN1C(=O)N(C)C(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc12,4.05,train,lipo
137,<lipo>|CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccnc4ccccc34)c2C(=O)N5C[C@H](O)CO5,2.14,train,lipo
138,<lipo>|Clc1ccc(cc1Cl)C2CNCC=CC2,1.86,train,lipo
139,<lipo>|CCCCCC1=CC(=O)NC(=N1)N,1.62,train,lipo
140,<lipo>|O=C(NCCCCc1ccccc1)c2ccccc2,3.8,train,lipo
141,<lipo>|CC(=O)c1ccc2NC(=CC(=O)c2c1)c3cccnc3,1.41,train,lipo
142,<lipo>|Cc1cc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl,2.54,train,lipo
143,<lipo>|Cc1ccccc1N2C(=Nc3cccc(C)c3C2=O)Cn4nc(c5ccc(O)c(F)c5)c6c(N)ncnc46,3.55,train,lipo
144,<lipo>|Clc1ccccc1CNC[C@@H]2CC[C@@H](CNCc3ccccc3Cl)CC2,2.74,train,lipo
145,<lipo>|Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccccc4)[C@@H](O)[C@H]3O,1.9,train,lipo
146,<lipo>|COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4c(F)cccn34)N5CCN(CC5)C(=O)C,3.5,train,lipo
147,<lipo>|Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,3.39,train,lipo
148,<lipo>|OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.48,train,lipo
149,<lipo>|CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,1.06,train,lipo
150,<lipo>|CN(C)CC1CCn2c(C1)c(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,2.88,train,lipo
151,<lipo>|Cc1csc(NC(=O)c2cc(Sc3nncn3C)ccc2N)n1,2.3,train,lipo
152,<lipo>|C[C@H](NC(=O)c1c(C)nn(C2CCS(=O)(=O)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,0.25,train,lipo
153,<lipo>|COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,2.82,train,lipo
154,<lipo>|CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13,2.17,train,lipo
155,<lipo>|CC(C)C(NC(=O)CN1C(=O)C2=C(C=C1c3ccccc3)C(=O)N(CCN4CCOCC4)C(=O)N2)C(=O)C(F)(F)F,1.91,train,lipo
156,<lipo>|CO[C@H]1CN(CCN2C(=O)C=Nc3ccc(OC)cc23)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.51,train,lipo
157,<lipo>|Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1.71,train,lipo
158,<lipo>|O[C@H](CNC(=O)c1c[nH]nc1C2CC2)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,3.15,train,lipo
159,<lipo>|CCCc1c(O)c(ccc1OCc2cccc(NC(=O)c3ccccc3C(=O)O)c2)C(=O)C,1.9,train,lipo
160,<lipo>|COc1cc(OC2CCN(C)CC2)c3c(Nc4cccc5OCCOc45)ncnc3c1,2.26,train,lipo
161,<lipo>|Oc1ccc(CCNCCCS(=O)(=O)NCCSCCc2ccccc2)c3sc(O)nc13,1.77,train,lipo
162,<lipo>|Fc1cc(C(=O)Nc2cccc(c2)c3nnn[nH]3)c4nc[nH]c4c1,0.29,train,lipo
163,<lipo>|CCCCN1Cc2c(O)n3nc(cc3nc2C1=O)c4occc4,0.8,train,lipo
164,<lipo>|O[C@@H](CNCCc1cccc(CN2CCC(CC2)c3ccccc3)c1)c4ccc(O)c5NC(=O)Sc45,1.99,train,lipo
165,<lipo>|Cc1nc(CS(=O)(=O)c2ccc(Cl)cc2)cc(n1)N3CCOCC3,1.8,train,lipo
166,<lipo>|Nc1c2CCCCc2nc3ccccc13,0.38,train,lipo
167,<lipo>|COc1ccc(\C=C/2\CCc3ccccc3C2=O)cc1CN4CCOCC4,3.8,train,lipo
168,<lipo>|CS(=O)(=O)Cc1cc(nc(n1)c2cnc3[nH]ccc3c2)N4CCOCC4,1.92,train,lipo
169,<lipo>|CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC3Cc4ccccc4C3,3.3,train,lipo
170,<lipo>|CSCCC(NC(=O)c1sccc1Cl)c2nc3ccccc3[nH]2,3.69,train,lipo
171,<lipo>|CC1=NC(=C(NC1=O)c2ccccc2)c3ccc(CN4CCC(CC4)N5C(=O)Nc6ccccc56)cc3,3.8,train,lipo
172,<lipo>|OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,3.6,train,lipo
173,<lipo>|Clc1ccc(Cl)c(c1)S(=O)(=O)Nc2nccs2,1.14,train,lipo
174,<lipo>|CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.63,train,lipo
175,<lipo>|NC(=N)SCc1ccc(Cl)c(Cl)c1,1.28,train,lipo
176,<lipo>|COc1ccc(cc1)c2csc(n2)N(CCCN3CCOCC3)C(=O)c4occc4,3.34,train,lipo
177,<lipo>|CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F,2.76,train,lipo
178,<lipo>|CC(C)N1CCN[C@H](C1)C(=O)N2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3,2.21,train,lipo
179,<lipo>|Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3,2.49,train,lipo
180,<lipo>|CCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,3.8,train,lipo
181,<lipo>|Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(Cc4ccsc4)C3=O,1.11,train,lipo
182,<lipo>|Fc1ccc(F)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,2.9,train,lipo
183,<lipo>|COc1cc2c(Nc3c(Cl)ccc4OCOc34)ncnc2cc1OCCCN5CCCC5,1.62,train,lipo
184,<lipo>|CNc1nc2nc(SCc3cccc(F)c3F)nc(N[C@H](C)CO)c2s1,3.7,train,lipo
185,<lipo>|CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F,3.59,train,lipo
186,<lipo>|C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1C(=O)Cc3ccc(Cl)cc3,1.66,train,lipo
187,<lipo>|O=C(Nc1ccccc1)c2oc3ccccc3c2,3.44,train,lipo
188,<lipo>|O=C(Nc1nccs1)[C@H](CC2CCOCC2)c3ccc(cc3)S(=O)(=O)C4CC4,2.55,train,lipo
189,<lipo>|Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13,3.45,train,lipo
190,<lipo>|c1ccc(cc1)c2[nH]nc3ccccc23,3.79,train,lipo
191,<lipo>|COc1c(cc2ccccc2c1C(=O)N(C)C[C@@H](CCN3CCC(CC3)c4ccc(O)cc4[S+](C)[O-])c5ccc(Cl)c(Cl)c5)C#N,3.5,train,lipo
192,<lipo>|CNC(=O)c1ccc(CN2CCC(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,1.99,train,lipo
193,<lipo>|O=C(N1CCCCC1)c2csc3CCCCc23,3.2,train,lipo
194,<lipo>|C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(OC(C4CC4)C(F)(F)F)nc23,1.83,train,lipo
195,<lipo>|N#Cc1ccc(Nc2nccc(NC3CC3)n2)cc1,3.01,train,lipo
196,<lipo>|CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2S(=O)(=O)N4CC[C@@H](O)C4,3.32,train,lipo
197,<lipo>|Cc1nc(C)c(s1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N,2.0,train,lipo
198,<lipo>|COc1cc2c(Nc3ccc(F)cc3F)c(cnc2cc1NCCN(C)C)C(=O)N,1.71,train,lipo
199,<lipo>|COCCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1,3.41,train,lipo
200,<lipo>|CC(C(=O)O)n1c(C)c(Sc2ccc(Cl)cc2)c3cc(Cl)ccc13,3.56,train,lipo
201,<lipo>|COC(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,3.2,train,lipo
202,<lipo>|COc1cc2ncnc(NCc3cccc(C)c3)c2cc1OC,3.5,train,lipo
203,<lipo>|CC(=O)Nc1ccc2c(c1)c(cn2CCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,2.71,train,lipo
204,<lipo>|CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,3.24,train,lipo
205,<lipo>|CN(C)CCC=C1c2ccccc2C=Cc3ccccc13,2.83,train,lipo
206,<lipo>|OCCO[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2nnc3c(N[C@@H]4C[C@H]4c5ccc(F)c(F)c5)nc(SCCC(F)(F)F)nc23,4.17,train,lipo
207,<lipo>|O=S1NC(=NO1)Cc2ccc3ccccc3c2,1.85,train,lipo
208,<lipo>|Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc(CN5CCOCC5)s4,3.1,train,lipo
209,<lipo>|Nc1nc2cc3CCN(Cc4ccccc4)CCc3cc2s1,2.66,train,lipo
210,<lipo>|Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,1.0,train,lipo
