,smiles,prop,SET,data
0,<freesolv>|c1cc(cc(c1)Cl)O,-6.62,train,freesolv
73,<freesolv>|CCCCOC(=O)c1ccc(cc1)O,-8.72,train,freesolv
74,<freesolv>|c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,train,freesolv
75,<freesolv>|CCCCCCC#C,0.71,train,freesolv
76,<freesolv>|CC(C)C(=O)C(C)C,-2.74,train,freesolv
77,<freesolv>|c1cc(c(c(c1)Cl)C#N)Cl,-4.71,train,freesolv
78,<freesolv>|C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,train,freesolv
79,<freesolv>|CCCCS,-0.99,train,freesolv
80,<freesolv>|CCCCCC(=O)OC,-2.49,train,freesolv
81,<freesolv>|c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,train,freesolv
82,<freesolv>|CCCCCl,-0.16,train,freesolv
83,<freesolv>|CCCCN(CC)C(=O)SCCC,-3.64,train,freesolv
84,<freesolv>|C(C(F)(Cl)Cl)(F)(F)Cl,1.77,train,freesolv
85,<freesolv>|CC(=C)c1ccccc1,-1.24,train,freesolv
86,<freesolv>|c1cc(ccc1O)Cl,-7.03,train,freesolv
87,<freesolv>|Cc1c[nH]c2c1cccc2,-5.88,train,freesolv
88,<freesolv>|c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,train,freesolv
89,<freesolv>|CCCC#N,-3.64,train,freesolv
90,<freesolv>|c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,train,freesolv
91,<freesolv>|C(Cl)Cl,-1.31,train,freesolv
92,<freesolv>|COCCOC,-4.84,train,freesolv
93,<freesolv>|CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,train,freesolv
94,<freesolv>|CCCCCCCCl,0.29,train,freesolv
95,<freesolv>|c1ccc2ccccc2c1,-2.4,train,freesolv
96,<freesolv>|COC(C(F)(F)F)(OC)OC,-0.8,train,freesolv
97,<freesolv>|CCCc1ccc(cc1)O,-5.21,train,freesolv
98,<freesolv>|COC(=O)C1CCCCC1,-3.3,train,freesolv
99,<freesolv>|COC(=O)C1CC1,-4.1,train,freesolv
100,<freesolv>|CCCCCI,-0.14,train,freesolv
101,<freesolv>|COC(=O)c1ccccc1,-3.92,train,freesolv
102,<freesolv>|Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,train,freesolv
103,<freesolv>|CCCC(C)(C)C,2.88,train,freesolv
104,<freesolv>|c1cnccc1C=O,-7.0,train,freesolv
105,<freesolv>|CCCCCCCCCC(=O)C,-2.15,train,freesolv
106,<freesolv>|CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,train,freesolv
107,<freesolv>|CCCCCCC=C,1.92,train,freesolv
108,<freesolv>|CCCCCC=C,1.66,train,freesolv
109,<freesolv>|CCCI,-0.53,train,freesolv
110,<freesolv>|CC(C)(C)O,-4.47,train,freesolv
111,<freesolv>|CCCCC#N,-3.52,train,freesolv
112,<freesolv>|c1cc(cc(c1)Cl)Cl,-0.98,train,freesolv
113,<freesolv>|COC(=O)C(F)(F)F,-1.1,train,freesolv
114,<freesolv>|CCC[C@@H](C)O,-4.39,train,freesolv
115,<freesolv>|c1ccc(cc1)Br,-1.46,train,freesolv
116,<freesolv>|CC[C@H](C)O,-4.62,train,freesolv
117,<freesolv>|CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48,train,freesolv
118,<freesolv>|CCC(C)C,2.38,train,freesolv
119,<freesolv>|CCCCO,-4.72,train,freesolv
120,<freesolv>|Cc1ccc(cc1)Br,-1.39,train,freesolv
121,<freesolv>|CC(C)CO[N+](=O)[O-],-1.88,train,freesolv
122,<freesolv>|C1CNC1,-5.56,train,freesolv
123,<freesolv>|Cc1cccc2c1cccc2,-2.44,train,freesolv
124,<freesolv>|CCCC[C@@H](C)CC,2.97,train,freesolv
125,<freesolv>|CCC[N+](=O)[O-],-3.34,train,freesolv
126,<freesolv>|C=CC=C,0.56,train,freesolv
127,<freesolv>|CN(C)c1ccccc1,-3.45,train,freesolv
128,<freesolv>|c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,train,freesolv
129,<freesolv>|Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41,train,freesolv
130,<freesolv>|C(=C/Cl)\Cl,-0.78,train,freesolv
131,<freesolv>|CCCCCCCO,-4.21,train,freesolv
132,<freesolv>|CCC(=O)OCC,-2.68,train,freesolv
133,<freesolv>|c1ccc2c(c1)ccc3c2cccc3,-3.88,train,freesolv
134,<freesolv>|C(F)(F)(F)Br,1.79,train,freesolv
135,<freesolv>|CCCCCCCCBr,0.52,train,freesolv
136,<freesolv>|COC(c1ccccc1)(OC)OC,-4.04,train,freesolv
137,<freesolv>|CCC(C)(C)C,2.51,train,freesolv
138,<freesolv>|CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,train,freesolv
139,<freesolv>|CCc1cnccn1,-5.45,train,freesolv
140,<freesolv>|C,2.0,train,freesolv
141,<freesolv>|c1ccc(cc1)c2ccccc2Cl,-2.69,train,freesolv
142,<freesolv>|c1cc(cnc1)C#N,-6.75,train,freesolv
143,<freesolv>|CC(C)C(C)C(C)C,2.56,train,freesolv
144,<freesolv>|CCOC,-2.1,train,freesolv
145,<freesolv>|c1c(cc(cc1Cl)Cl)Cl,-0.78,train,freesolv
146,<freesolv>|COCOC,-2.93,train,freesolv
147,<freesolv>|CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,train,freesolv
148,<freesolv>|C[C@H](C(F)(F)F)O,-4.2,train,freesolv
149,<freesolv>|S,-0.7,train,freesolv
150,<freesolv>|c1ccc(c(c1)N)[N+](=O)[O-],-7.37,train,freesolv
151,<freesolv>|Cc1ccccn1,-4.63,train,freesolv
152,<freesolv>|CCCC(=O)OC,-2.83,train,freesolv
153,<freesolv>|c1cc2cccc3c2c(c1)CC3,-3.15,train,freesolv
154,<freesolv>|CCCOCCO,-6.4,train,freesolv
155,<freesolv>|CCCl,-0.63,train,freesolv
156,<freesolv>|C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,train,freesolv
157,<freesolv>|CCCC,2.1,train,freesolv
158,<freesolv>|CC[C@@H](C)C(C)C,2.52,train,freesolv
159,<freesolv>|CC(C)COC(=O)C(C)C,-1.69,train,freesolv
160,<freesolv>|CCCCCCC=O,-2.67,train,freesolv
161,<freesolv>|CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,train,freesolv
162,<freesolv>|C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,train,freesolv
163,<freesolv>|Cc1cccc(c1)C,-0.83,train,freesolv
164,<freesolv>|CC[C@H](C)Cl,0.0,train,freesolv
165,<freesolv>|CC[C@@H](C)CO,-4.42,train,freesolv
166,<freesolv>|CC(C)CC(C)C,2.83,train,freesolv
167,<freesolv>|CCCc1ccccc1,-0.53,train,freesolv
168,<freesolv>|C(I)I,-2.49,train,freesolv
169,<freesolv>|c1cc(c(cc1Cl)Cl)Cl,-1.12,train,freesolv
170,<freesolv>|c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,train,freesolv
171,<freesolv>|CCCCCCC(=O)C,-2.88,train,freesolv
172,<freesolv>|CCSSCC,-1.64,train,freesolv
173,<freesolv>|c1ccc2cc3ccccc3cc2c1,-3.95,train,freesolv
174,<freesolv>|CCN,-4.5,train,freesolv
175,<freesolv>|Cc1ccc(cc1)N,-5.57,train,freesolv
176,<freesolv>|CC(=O)N,-9.71,train,freesolv
177,<freesolv>|CC(C)COC(=O)C,-2.36,train,freesolv
178,<freesolv>|CCCCCC(=O)C,-3.04,train,freesolv
179,<freesolv>|c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,train,freesolv
180,<freesolv>|CN1CCNCC1,-7.77,train,freesolv
181,<freesolv>|C1C=CC=CC=C1,-0.99,train,freesolv
182,<freesolv>|Cc1cccs1,-1.38,train,freesolv
183,<freesolv>|CCCCOCCCC,-0.83,train,freesolv
184,<freesolv>|C1CNCCN1,-7.4,train,freesolv
185,<freesolv>|C(CBr)Br,-2.33,train,freesolv
186,<freesolv>|CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,train,freesolv
187,<freesolv>|CCCCCCO,-4.4,train,freesolv
188,<freesolv>|CC1CCCC1,1.59,train,freesolv
189,<freesolv>|CC=C,1.32,train,freesolv
190,<freesolv>|C1CCC=CC1,0.14,train,freesolv
191,<freesolv>|COc1cccc(c1)N,-7.29,train,freesolv
192,<freesolv>|c1ccc(cc1)Oc2ccccc2,-2.87,train,freesolv
193,<freesolv>|CCNCC,-4.07,train,freesolv
194,<freesolv>|CCCCNCCCC,-3.24,train,freesolv
195,<freesolv>|C1CC=CC1,0.56,train,freesolv
196,<freesolv>|c1ccc(c(c1)Cl)Cl,-1.36,train,freesolv
197,<freesolv>|c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,train,freesolv
198,<freesolv>|Cc1ccccc1[N+](=O)[O-],-3.58,train,freesolv
199,<freesolv>|CF,-0.22,train,freesolv
200,<freesolv>|CCCCC=O,-3.03,train,freesolv
201,<freesolv>|CC=C(C)C,1.31,train,freesolv
202,<freesolv>|Cc1cccc(c1O)C,-5.26,train,freesolv
203,<freesolv>|c1ccc(cc1)C#N,-4.1,train,freesolv
204,<freesolv>|c1ccc(cc1)O,-6.6,train,freesolv
205,<freesolv>|Cc1cccc(c1)O,-5.49,train,freesolv
206,<freesolv>|c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,train,freesolv
207,<freesolv>|Cc1ccc(cc1)C(=O)C,-4.7,train,freesolv
208,<freesolv>|CCC(C)(C)O,-4.43,train,freesolv
209,<freesolv>|c1cc(ccc1O)F,-6.19,train,freesolv
210,<freesolv>|Cc1ccc(c(c1)C)C,-0.86,train,freesolv
211,<freesolv>|CC(=O)C1CCCCC1,-3.9,train,freesolv
212,<freesolv>|CC,1.83,train,freesolv
213,<freesolv>|C(=C\Cl)\Cl,-1.17,train,freesolv
214,<freesolv>|C1COCCO1,-5.06,train,freesolv
215,<freesolv>|CCCOC=O,-2.48,train,freesolv
216,<freesolv>|CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,train,freesolv
217,<freesolv>|C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,train,freesolv
218,<freesolv>|c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,train,freesolv
219,<freesolv>|C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0,train,freesolv
220,<freesolv>|CCOC(=O)c1ccccc1,-3.64,train,freesolv
221,<freesolv>|c1cc(ccc1C=O)O,-8.83,train,freesolv
222,<freesolv>|c1ccc(cc1)c2ccccc2,-2.7,train,freesolv
223,<freesolv>|C1CCC(C1)O,-5.49,train,freesolv
224,<freesolv>|c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,train,freesolv
225,<freesolv>|CCCCCCCBr,0.34,train,freesolv
226,<freesolv>|COc1ccccc1OC,-5.33,train,freesolv
227,<freesolv>|c1ccc2c(c1)Oc3ccccc3O2,-3.15,train,freesolv
228,<freesolv>|c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,train,freesolv
229,<freesolv>|c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,train,freesolv
230,<freesolv>|Cc1c[nH]cn1,-10.27,train,freesolv
231,<freesolv>|CC(=C)C=C,0.68,train,freesolv
232,<freesolv>|c1cc(ccc1[N+](=O)[O-])O,-10.64,train,freesolv
233,<freesolv>|c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,train,freesolv
234,<freesolv>|CCCCCCCCCO,-3.88,train,freesolv
235,<freesolv>|CCCCCCBr,0.18,train,freesolv
236,<freesolv>|COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,train,freesolv
237,<freesolv>|c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33,train,freesolv
238,<freesolv>|CS(=O)(=O)C,-10.08,train,freesolv
239,<freesolv>|CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,train,freesolv
240,<freesolv>|c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,train,freesolv
241,<freesolv>|COC(OC)OC,-4.42,train,freesolv
242,<freesolv>|CC(C)COC=O,-2.22,train,freesolv
243,<freesolv>|c1ccc(cc1)C(F)(F)F,-0.25,train,freesolv
244,<freesolv>|C[C@H]1CCCO1,-3.3,train,freesolv
245,<freesolv>|c1ccc2c(c1)C(=O)NC2=O,-9.61,train,freesolv
246,<freesolv>|CN(C)C,-3.2,train,freesolv
247,<freesolv>|Cc1ccnc(c1)C,-4.86,train,freesolv
248,<freesolv>|C(C(F)(F)F)O,-4.31,train,freesolv
249,<freesolv>|Cc1ccc(c(c1)C)O,-6.01,train,freesolv
250,<freesolv>|c1cc(ccc1N)Cl,-5.9,train,freesolv
251,<freesolv>|CC(C)OC,-2.01,train,freesolv
252,<freesolv>|CCOC(=O)C,-2.94,train,freesolv
253,<freesolv>|CCO,-5.0,train,freesolv
254,<freesolv>|CN,-4.55,train,freesolv
255,<freesolv>|CC[C@H](C(C)C)O,-3.88,train,freesolv
256,<freesolv>|C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82,train,freesolv
257,<freesolv>|c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,train,freesolv
258,<freesolv>|CCCNCCC,-3.65,train,freesolv
259,<freesolv>|COS(=O)(=O)C,-4.87,train,freesolv
260,<freesolv>|CCOCCOC(=O)C,-5.31,train,freesolv
261,<freesolv>|Cc1cc(cc(c1)O)C,-6.27,train,freesolv
262,<freesolv>|COc1ccc(cc1)N,-7.48,train,freesolv
263,<freesolv>|CCCCC(=O)OC,-2.56,train,freesolv
264,<freesolv>|c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16,train,freesolv
265,<freesolv>|C(Cl)(Cl)(Cl)Cl,0.08,train,freesolv
266,<freesolv>|CCC=O,-3.43,train,freesolv
267,<freesolv>|C(Br)(Br)Br,-2.13,train,freesolv
268,<freesolv>|CCCCN,-4.24,train,freesolv
269,<freesolv>|Cc1cc(cnc1)C,-4.84,train,freesolv
270,<freesolv>|Cc1ccc(cc1)C(C)C,-0.68,train,freesolv
271,<freesolv>|C=C(Cl)Cl,0.25,train,freesolv
272,<freesolv>|C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,train,freesolv
273,<freesolv>|c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,train,freesolv
274,<freesolv>|CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,train,freesolv
275,<freesolv>|C1CCNC1,-5.48,train,freesolv
276,<freesolv>|COC,-1.91,train,freesolv
277,<freesolv>|CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,train,freesolv
278,<freesolv>|CCCC(=O)CCC,-2.92,train,freesolv
279,<freesolv>|CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,train,freesolv
280,<freesolv>|CCCCCCI,0.08,train,freesolv
281,<freesolv>|CCCCOC(=O)C,-2.64,train,freesolv
282,<freesolv>|c1ccc2c(c1)CCC2,-1.46,train,freesolv
283,<freesolv>|CCCC(=O)OCC,-2.49,train,freesolv
284,<freesolv>|COc1ccccc1O,-5.94,train,freesolv
285,<freesolv>|CC#C,-0.48,train,freesolv
286,<freesolv>|C1CCC(CC1)O,-5.46,train,freesolv
287,<freesolv>|c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,train,freesolv
288,<freesolv>|COCCN,-6.55,train,freesolv
289,<freesolv>|CCC[C@H](CC)O,-4.06,train,freesolv
290,<freesolv>|COc1ccccc1,-2.45,train,freesolv
291,<freesolv>|Cc1ccccc1N,-5.53,train,freesolv
292,<freesolv>|CC(=O)C1CC1,-4.61,train,freesolv
293,<freesolv>|C(C(Cl)Cl)(Cl)Cl,-2.37,train,freesolv
294,<freesolv>|CC(OC(=O)C)OC(=O)C,-4.97,train,freesolv
295,<freesolv>|c1cc(c(c(c1)Cl)Cl)Cl,-1.24,train,freesolv
296,<freesolv>|[C@@H](C(F)(F)F)(F)Br,0.5,train,freesolv
297,<freesolv>|CC(C)Cl,-0.25,train,freesolv
298,<freesolv>|CCS,-1.14,train,freesolv
299,<freesolv>|Cc1ccc(cc1)O,-6.13,train,freesolv
300,<freesolv>|CC(C)CC(=O)C,-3.05,train,freesolv
301,<freesolv>|CCCCCC1CCCC1,2.55,train,freesolv
302,<freesolv>|Cc1ccc(cc1)C,-0.8,train,freesolv
303,<freesolv>|c1ccc2c(c1)cccc2N,-7.28,train,freesolv
304,<freesolv>|CCCCCCC,2.67,train,freesolv
305,<freesolv>|C(CBr)Cl,-1.95,train,freesolv
306,<freesolv>|c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,train,freesolv
307,<freesolv>|CO,-5.1,train,freesolv
308,<freesolv>|CCCOC(=O)C,-2.79,train,freesolv
309,<freesolv>|CNC(=O)Oc1cccc2c1cccc2,-9.45,train,freesolv
310,<freesolv>|C1CC[S+2](C1)([O-])[O-],-8.61,train,freesolv
311,<freesolv>|c1ccc(c(c1)[N+](=O)[O-])O,-4.58,train,freesolv
312,<freesolv>|CCCN,-4.39,train,freesolv
313,<freesolv>|CNC,-4.29,train,freesolv
314,<freesolv>|COc1cccc(c1)O,-7.66,train,freesolv
315,<freesolv>|CC(C)(/C=N\OC(=O)NC)SC,-9.84,train,freesolv
316,<freesolv>|c1ccsc1,-1.4,train,freesolv
317,<freesolv>|CCCN(CCC)C(=O)SCCC,-4.13,train,freesolv
318,<freesolv>|CCCC[N+](=O)[O-],-3.09,train,freesolv
319,<freesolv>|CSSC,-1.83,train,freesolv
320,<freesolv>|CC(=O)CO[N+](=O)[O-],-5.99,train,freesolv
321,<freesolv>|CCc1cccc2c1cccc2,-2.4,train,freesolv
322,<freesolv>|c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,train,freesolv
323,<freesolv>|CCc1ccccc1,-0.79,train,freesolv
324,<freesolv>|C=C(c1ccccc1)c2ccccc2,-2.78,train,freesolv
325,<freesolv>|COC(CC#N)(OC)OC,-6.4,train,freesolv
326,<freesolv>|CCCCO[N+](=O)[O-],-2.09,train,freesolv
327,<freesolv>|CC(OC)(OC)OC,-4.42,train,freesolv
328,<freesolv>|C(CCCl)CCl,-2.32,train,freesolv
329,<freesolv>|C=Cc1ccccc1,-1.24,train,freesolv
330,<freesolv>|CCC=C,1.38,train,freesolv
331,<freesolv>|C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,train,freesolv
332,<freesolv>|C=O,-2.75,train,freesolv
333,<freesolv>|CBr,-0.82,train,freesolv
334,<freesolv>|C/C=C/C=O,-4.22,train,freesolv
335,<freesolv>|CCCS,-1.1,train,freesolv
336,<freesolv>|CC(C)SC(C)C,-1.21,train,freesolv
337,<freesolv>|C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21,train,freesolv
338,<freesolv>|CCOCC,-1.59,train,freesolv
339,<freesolv>|CC(C)C(C)C,2.34,train,freesolv
340,<freesolv>|CCCCCCCC,2.88,train,freesolv
341,<freesolv>|C=CCO,-5.03,train,freesolv
342,<freesolv>|CC1=CC(=O)CC(C1)(C)C,-5.18,train,freesolv
343,<freesolv>|CC(C)CCOC=O,-2.13,train,freesolv
344,<freesolv>|COC(C(Cl)Cl)(F)F,-1.12,train,freesolv
345,<freesolv>|Cc1ccccc1Cl,-1.14,train,freesolv
346,<freesolv>|c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,train,freesolv
347,<freesolv>|CC(C)OC=O,-2.02,train,freesolv
348,<freesolv>|c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,train,freesolv
349,<freesolv>|c1cc(cnc1)Cl,-4.01,train,freesolv
350,<freesolv>|c1ccc(cc1)OC=O,-3.82,train,freesolv
351,<freesolv>|Cc1cccc(c1N)C,-5.21,train,freesolv
352,<freesolv>|c1ccc(cc1)C(=O)N,-11.0,train,freesolv
353,<freesolv>|C1CCCC1,1.2,train,freesolv
354,<freesolv>|CCCCCCN,-3.95,train,freesolv
355,<freesolv>|CCCCCCCC(=O)OC,-2.04,train,freesolv
356,<freesolv>|CCOC(=O)CC(=O)OCC,-6.0,train,freesolv
357,<freesolv>|CCCCCCCCC=O,-2.07,train,freesolv
358,<freesolv>|CCCCCCCN,-3.79,train,freesolv
359,<freesolv>|[C@@H](C(F)(F)F)(Cl)Br,-0.11,train,freesolv
360,<freesolv>|C(=C(Cl)Cl)(Cl)Cl,0.1,train,freesolv
361,<freesolv>|c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,train,freesolv
362,<freesolv>|CC(=O)C(C)(C)C,-3.11,train,freesolv
363,<freesolv>|C1CCC(CC1)N,-4.59,train,freesolv
364,<freesolv>|CC(=O)Oc1ccccc1C(=O)O,-9.94,train,freesolv
365,<freesolv>|Cc1cccc(c1)[N+](=O)[O-],-3.45,train,freesolv
366,<freesolv>|CCCCl,-0.33,train,freesolv
367,<freesolv>|CCCOC(=O)CC,-2.44,train,freesolv
368,<freesolv>|c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,train,freesolv
369,<freesolv>|Cc1ccccc1O,-5.9,train,freesolv
370,<freesolv>|CC#N,-3.88,train,freesolv
